"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime"
"1",500,TRUE,8,"Light",49,363.25,205.5,5.5
"2",500,TRUE,8,"Heavy",33.25,385.5,126.5,4.5
"3",500,TRUE,8,"Mixed",46.25,387.75,193.75,5.5
"4",500,FALSE,8,"None",54,357.75,256.25,6.5
"5",500,TRUE,9,"Light",47.5,367,219.75,5.75
"6",500,TRUE,9,"Heavy",38.75,388.75,207.75,6
"7",500,TRUE,9,"Mixed",46,365,215.75,6
"8",500,FALSE,9,"None",54.25,328.75,228,6
"9",500,TRUE,10,"Light",40.75,386.5,131.25,4.5
"10",500,TRUE,10,"Heavy",34.5,390,88.75,3.75
"11",500,TRUE,10,"Mixed",37,379.25,121.25,4
"12",500,FALSE,10,"None",39.25,382,112.5,4.25
"13",500,TRUE,11,"Light",39.5,388.75,121,4
"14",500,TRUE,11,"Heavy",25,413.5,20,2.25
"15",500,TRUE,11,"Mixed",32,399.25,47,3
"16",500,FALSE,11,"None",31,398.5,65.25,3.25
"17",500,TRUE,12,"Light",27.75,409.5,25,2.5
"18",500,TRUE,12,"Heavy",28.5,404,28.5,3
"19",500,TRUE,12,"Mixed",26.75,409.5,21.75,2.5
"20",500,FALSE,12,"None",25.5,408.75,24.75,3
"21",500,TRUE,13,"Light",25.25,414.25,13.5,2.25
"22",500,TRUE,13,"Heavy",28.5,416.25,38.25,3
"23",500,TRUE,13,"Mixed",22.5,413.75,10.25,2
"24",500,FALSE,13,"None",23.75,414.75,10.5,2.25
"25",500,TRUE,14,"Light",27.5,407.25,47,3
"26",500,TRUE,14,"Heavy",21.5,416.25,0,2
"27",500,TRUE,14,"Mixed",21.5,418.25,0,2
"28",500,FALSE,14,"None",23,415.25,2.75,2
"29",500,TRUE,15,"Light",23.5,404.75,27.75,2.75
"30",500,TRUE,15,"Heavy",21.5,416.25,0,2
"31",500,TRUE,15,"Mixed",22,416.25,0.5,2.25
"32",500,FALSE,15,"None",16.75,413.5,2.25,2
"33",500,TRUE,16,"Light",21.75,418.75,1.5,1.75
"34",500,TRUE,16,"Heavy",22.25,415.25,0.75,2
"35",500,TRUE,16,"Mixed",22.5,415.25,0.25,2.25
"36",500,FALSE,16,"None",21.25,416.5,1,2
"37",500,TRUE,17,"Light",18.5,415.25,0.75,2
"38",500,TRUE,17,"Heavy",22.25,416.5,0.25,1.75
"39",500,TRUE,17,"Mixed",24,412.75,0.25,2.25
"40",500,FALSE,17,"None",21.75,415.25,0.5,2
"41",500,TRUE,8,"Light",61.25,341.25,423.5,9
"42",500,TRUE,8,"Heavy",47.25,363,263.75,6.5
"43",500,TRUE,8,"Mixed",54.25,364,284.5,7.25
"44",500,FALSE,8,"None",60.5,338.75,333,8
"45",500,TRUE,9,"Light",53.75,475.5,309,7.5
"46",500,TRUE,9,"Heavy",31.25,399,61.75,3
"47",500,TRUE,9,"Mixed",30.5,402.75,41.5,3
"48",500,FALSE,9,"None",50.25,344.5,227.75,6
"49",500,TRUE,10,"Light",36.75,391.25,69.5,3
"50",500,TRUE,10,"Heavy",25,410.25,26.25,2.5
"51",500,TRUE,10,"Mixed",26.25,408.25,30.75,2.75
"52",500,FALSE,10,"None",39.75,371.5,152.75,4.75
"53",500,TRUE,11,"Light",30.25,399.25,81.75,3.75
"54",500,TRUE,11,"Heavy",31.5,395.75,77.25,3.25
"55",500,TRUE,11,"Mixed",25.25,410.5,30.25,2.75
"56",500,FALSE,11,"None",31.75,394.5,76,3.5
"57",500,TRUE,12,"Light",31.75,394.25,76,3
"58",500,TRUE,12,"Heavy",21.25,419.5,1.25,2.25
"59",500,TRUE,12,"Mixed",27.5,409,25.25,3
"60",500,FALSE,12,"None",26.75,407.25,24.5,2.75
"61",500,TRUE,13,"Light",24.25,415.75,23.75,2.5
"62",500,TRUE,13,"Heavy",20.5,421,0.25,2.25
