"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime","GoneIntensity"
"1",3000,TRUE,11,"Light",450.5,1617.75,5159.5,17,0.605314
"2",3000,TRUE,11,"Heavy",288.25,2055.75,2545.5,10.25,0.1786664
"3",3000,TRUE,11,"Mixed",362.25,1801.5,4845.25,16.5,0.5941238
"4",3000,FALSE,11,"None",393.25,1863,4832.25,16.25,0.4790991
"5",3000,TRUE,12,"Light",344,1547,5778.75,19.25,0.3366627
"6",3000,TRUE,12,"Heavy",416.25,1907.5,4653.75,15.75,0.6273454
"7",3000,TRUE,12,"Mixed",413.75,1851.5,4363.75,15.25,0.5426507
"8",3000,FALSE,12,"None",438.25,1840,5696.5,19.25,0.3714262
"9",3000,TRUE,13,"Light",344.5,2051.25,3263.5,11.5,0.5241945
"10",3000,TRUE,13,"Heavy",370,1937.25,4184.5,14.25,0.4471605
"11",3000,TRUE,13,"Mixed",341,2044,2946.5,10.5,0.3343813
"12",3000,FALSE,13,"None",275.75,2136,2157.5,8.5,0.2964649
"13",3000,TRUE,14,"Light",239.25,2204.75,1425.25,6.5,0.2125975
"14",3000,TRUE,14,"Heavy",179.5,2366,437,3.5,0.0554208
"15",3000,TRUE,14,"Mixed",247.25,2217.25,1434.5,6.5,0.2534645
"16",3000,FALSE,14,"None",328.5,1992.75,3043,10.75,0.4910501
"17",3000,TRUE,15,"Light",257,2176.5,1967.75,7.75,0.3844775
"18",3000,TRUE,15,"Heavy",289.25,2117.25,1662,7,0.3720037
"19",3000,TRUE,15,"Mixed",278.25,2129,2090.5,8.25,0.3193377
"20",3000,FALSE,15,"None",322.75,2058.25,2884.5,10.5,0.1100361
"21",3000,TRUE,11,"Light",471,1726.5,4931.25,16.25,0.5055703
"22",3000,TRUE,11,"Heavy",320.75,2066.75,2705.25,10.25,0.1105206
"23",3000,TRUE,11,"Mixed",448.75,1629.25,7304.25,24,0.678925
"24",3000,FALSE,11,"None",318.25,1724.5,5755,19.25,0.5135068
"25",3000,TRUE,12,"Light",378.5,1934,4264.75,14.25,0.5514388
"26",3000,TRUE,12,"Heavy",392.5,1928,4577,15.25,0.5439452
"27",3000,TRUE,12,"Mixed",408,1848,4670.25,15.75,0.4976855
"28",3000,FALSE,12,"None",419.5,1820.25,5326.25,18.25,0.4063128
"29",3000,TRUE,13,"Light",336.25,2000.75,3100,11.25,0.3090798
"30",3000,TRUE,13,"Heavy",172.75,2379.25,368.5,3.5,0.02138136
"31",3000,TRUE,13,"Mixed",379.5,1920.5,4663.75,15.75,0.2583889
"32",3000,FALSE,13,"None",398.75,1663.5,6645.75,22.25,0.1256764
"33",3000,TRUE,14,"Light",338,1917.25,3774,12.75,0.2050457
"34",3000,TRUE,14,"Heavy",359.5,1993,3227.75,13.5,0.1301645
"35",3000,TRUE,14,"Mixed",302.25,2093.25,2260.25,8.75,0.07067254
"36",3000,FALSE,14,"None",283.5,2095.75,2590,10,0.0708409
"37",3000,TRUE,15,"Light",427,1825.25,5404.25,17.75,0.4448465
"38",3000,TRUE,15,"Heavy",222,2275,1388.5,8.5,0.0358773
"39",3000,TRUE,15,"Mixed",279.75,2148.25,2153.25,8.5,0.2515513
